classifier_name,full_dataset_name,f1,accuracy
chrono_gam_old,Adiac,0.9245906694725452,0.9010161056196861
chrono_gam_old,ArrowHead,0.4445004485641115,0.5142857142857143
chrono_gam_old,Beef,0.732229700124437,0.6333333333333333
chrono_gam_old,BeetleFly,0.14545454545454545,0.42500000000000004
chrono_gam_old,BirdChicken,0.5381818181818182,0.55
chrono_gam_old,CBF,0.3635036375193417,0.37148148148148147
chrono_gam_old,Car,0.47767875802358567,0.4625
chrono_gam_old,ChlorineConcentration,0.18978477226131218,0.36328125
chrono_gam_old,CinCECGTorso,0.5758734959478303,0.46793478260869564
chrono_gam_old,Coffee,0.2403361344537815,0.3571428571428571
chrono_gam_old,Computers,0.11131609415696099,0.46199999999999997
chrono_gam_old,CricketX,0.4810002836881712,0.40491452991452986
chrono_gam_old,CricketY,0.523389339441113,0.47200854700854694
